"Package","Version"
"base","4.3.1"
"compiler","4.3.1"
"datasets","4.3.1"
"graphics","4.3.1"
"grDevices","4.3.1"
"grid","4.3.1"
"methods","4.3.1"
"parallel","4.3.1"
"splines","4.3.1"
"stats","4.3.1"
"stats4","4.3.1"
"tcltk","4.3.1"
"tools","4.3.1"
"utils","4.3.1"
